标题,标题链接,图片,bilivideocard_statsitem,bilivideocard_statsitem1,bilivideocard_stats_duration,信息_链接,作者,信息
【chatgpt】长知识，AI学不会中文是因为啥？？,https://www.bilibili.com/video/BV1WM41137cy/,https://i2.hdslb.com/bfs/archive/46d0374dd346568cbe7550bb4e39ec3f1c65c9f0.jpg@672w_378h_1c_!web-search-common-cover,22.8万,1,03:50,https://space.bilibili.com/1963543975,ChatGPT情报员, · 2023-5-6
信息太爆炸，10分钟看完20个最新AI重要工具！,https://www.bilibili.com/video/BV13V4y1f7c5/,https://i0.hdslb.com/bfs/archive/1dc922c05c2ec4f198e7bdfc25f358fb4fda7a6d.jpg@672w_378h_1c_!web-search-common-cover,918,0,10:10,https://space.bilibili.com/3493134570883845,AI兔扒哥, · 2023-4-16
【ChatGPT】地表最强AI？带你三分钟了解ChatGPT！！,https://www.bilibili.com/video/BV1ij411M7uG/,https://i1.hdslb.com/bfs/archive/a9606eb5bf9100958bee42343824e4a5eb658e1b.jpg@672w_378h_1c_!web-search-common-cover,2222,2,02:58,https://space.bilibili.com/1140151569,硅谷高创加速营, · 2023-2-6
揭秘2023诺贝尔奖热门中国作家残雪｜对谈著名作家卡夫卡｜AI创意短片,https://www.bilibili.com/video/BV1Bm4y137p4/,https://i2.hdslb.com/bfs/archive/28dd53bbe2c498d383e66114ee5190a26fd6771d.jpg@672w_378h_1c_!web-search-common-cover,1776,0,04:17,https://space.bilibili.com/3493141155940830,AI学姐雅典娜, · 2023-10-3
AItalk 听听梵高和高更看迟到的《消失的她》,https://www.bilibili.com/video/BV1uF411f7np/,https://i1.hdslb.com/bfs/archive/0798098e71d7d4b59f015c97dedf3cf38da075f5.jpg@672w_378h_1c_!web-search-common-cover,236,0,02:07,https://space.bilibili.com/3493279555390256,三藏艺术馆, · 2023-8-4
为什么chatGPT没诞生在中国？你知道全球顶级AI研究员有多少中国人吗？,https://www.bilibili.com/video/BV18M4y147Zc/,https://i1.hdslb.com/bfs/archive/76ebee411770d11ac5005ddfa7cc10676b91a75b.jpg@672w_378h_1c_!web-search-common-cover,7.1万,270,02:49,https://space.bilibili.com/27138390,腔调制造, · 2023-5-9
大家看看……如果不说，你认为这是真人还是AI？,https://www.bilibili.com/video/BV1yc411u7kN/,https://i2.hdslb.com/bfs/archive/80e2b376fa20e7beecab57cf6634f1c8698b935f.jpg@672w_378h_1c_!web-search-common-cover,12.4万,46,01:25,https://space.bilibili.com/2104221322,我和AI的一天, · 2023-6-12
AI的真实想法，令人背后发凉,https://www.bilibili.com/video/BV1VG411M7Dj/,https://i2.hdslb.com/bfs/archive/6bf5b3f458198c76433f7973a730ca299ef15fa6.jpg@672w_378h_1c_!web-search-common-cover,4.7万,21,01:37,https://space.bilibili.com/625315564,青木是也, · 2022-12-9
AI新浪潮 | 浅谈人工智能对文化的影响,https://www.bilibili.com/video/BV1284y1g7ay/,https://i0.hdslb.com/bfs/archive/8048813f40ae3523eb7e4fccf71421c17db8df55.jpg@672w_378h_1c_!web-search-common-cover,5346,66,07:19,https://space.bilibili.com/2099545087,为何编辑室, · 2023-3-29
那些用AI月入20万的人都在做...,https://www.bilibili.com/video/BV1S84y1T7qs/,https://i2.hdslb.com/bfs/archive/180eed98ffa2a9edb720a94aa3b5dd963a5a553c.jpg@672w_378h_1c_!web-search-common-cover,1175,1,02:11,https://space.bilibili.com/1519931409,德国Viviane, · 2023-4-9
【Digital Day 2022】AITALK - 告别智障的对话式A.I.，让数字人真正“活”起来（直播回放）,https://www.bilibili.com/video/BV1W3411f7Rf/,https://i0.hdslb.com/bfs/archive/2c7be484c8380fae35999a82f1c590fb3dbd9c47.jpg@672w_378h_1c_!web-search-common-cover,401,0,13:20,https://space.bilibili.com/297207611,丽台科技, · 2022-11-24
ChatGPT淘金热来了！新的AI牛人得从这些地方找！,https://www.bilibili.com/video/BV12g4y137LU/,https://i0.hdslb.com/bfs/archive/3c8e3399b3ce39f917c0f3ead5ef1b980544f766.jpg@672w_378h_1c_!web-search-common-cover,1.3万,79,04:25,https://space.bilibili.com/398423151,王煜全, · 2023-3-29
预告 - 梅西对话C罗，贝克汉姆主持，那顿尚未发生的晚餐,https://www.bilibili.com/video/BV1Ep4y1T7dG/,https://i0.hdslb.com/bfs/archive/15753357f1776bd7d6b9cac547a75bf06010d6e4.jpg@672w_378h_1c_!web-search-common-cover,6725,2,00:46,https://space.bilibili.com/405083326,AI-Talk, · 2023-10-18
【未来已来】国外小伙干货 如何利用AI实现月入超20W AI创业机遇已到来！,https://www.bilibili.com/video/BV1Es4y1E7WR/,https://i1.hdslb.com/bfs/archive/0a7b55203681ffdefe4c047b5a288be387a7f6dc.jpg@672w_378h_1c_!web-search-common-cover,748,0,15:37,https://space.bilibili.com/408270931,xiaoqi578, · 2023-4-4
想要中文AI支棱起来，就要…,https://www.bilibili.com/video/BV1jm4y1r77C/,https://i0.hdslb.com/bfs/archive/cf0b6e6a9b313ea42f3756215ee78e314e813a42.jpg@672w_378h_1c_!web-search-common-cover,3.2万,73,02:01,https://space.bilibili.com/3493082435684705,北大博士后卢菁AI课堂, · 2023-3-27
AI居里夫人解读2023诺贝尔化学奖：量子点是什么？｜我用AI复活了两次诺贝尔奖获得者｜AI短片,https://www.bilibili.com/video/BV1Pu4y1x7i9/,https://i1.hdslb.com/bfs/archive/d20cf8eaac48f403dbbc8c8d6905b4d06d165d20.jpg@672w_378h_1c_!web-search-common-cover,249,0,03:44,https://space.bilibili.com/3493141155940830,AI学姐雅典娜, · 2023-10-5
AI史上最大投资，微软100亿美金砸给造出超级聊天机器人ChatGPT的硅谷OpenAI,https://www.bilibili.com/video/BV1KY411976c/,https://i1.hdslb.com/bfs/archive/2f7e486c5a25645cef8862b718260f08265d7e2f.jpg@672w_378h_1c_!web-search-common-cover,1.8万,17,03:38,https://space.bilibili.com/1510588366,史丹福机器人庞博士, · 2023-1-26
AItalk|如果有“前任app”，你会用吗？,https://www.bilibili.com/video/BV14T41187tP/,https://i2.hdslb.com/bfs/archive/272cafdaf110d07a29985956c53abb8b7bf39711.jpg@672w_378h_1c_!web-search-common-cover,1050,0,01:55,https://space.bilibili.com/3493137003580091,跃迁AI, · 2023-5-12
美女记者对话OpenAI CEO、CTO，揭秘人工智能将如何重塑社会及存在的风险 - (中英文字幕+详细翻译)～你还看不懂么？,https://www.bilibili.com/video/BV1UM411u7AM/,https://i0.hdslb.com/bfs/archive/1b698599f66735940c8a4c727e90d6d75d9d021f.jpg@672w_378h_1c_!web-search-common-cover,1183,3,21:37,https://space.bilibili.com/1505450084,不值得关注的程序员, · 2023-3-25
【完整中文版】GPT之父Ilya斯坦福谈话：AI意识，OpenAI商业化，暂缓AI研究,https://www.bilibili.com/video/BV1LX4y1U7zx/,https://i0.hdslb.com/bfs/archive/ad2d93dcc6eb17fbe1e19ce56fd20fb5a8053350.jpg@672w_378h_1c_!web-search-common-cover,765,1,50:36,https://space.bilibili.com/351754674,Web3天空之城, · 2023-5-3
地表最强AI聊天机器人的地位不保了！ChatGPT在它面前都是弟弟！被瞬间秒杀,https://www.bilibili.com/video/BV1cA411X7k9/,https://i0.hdslb.com/bfs/archive/2cea513e47426a0d497946fc900c954b80147c46.jpg@672w_378h_1c_!web-search-common-cover,3774,6,02:36,https://space.bilibili.com/3493084843215141,大阿悦yue, · 2022-12-22
老巴祝您龙年财源滚滚  老巴对话比尔 如何看财运 AI Talk红包封面第一弹,https://www.bilibili.com/video/BV1Cv421175k/,https://i2.hdslb.com/bfs/archive/27d748c0bfe1c0bdc87b523f3d9e73acd3fb41ec.jpg@672w_378h_1c_!web-search-common-cover,5526,3,01:13,https://space.bilibili.com/405083326,AI-Talk, · 2-7
来和AI聊聊天,https://www.bilibili.com/video/BV1MV4y1o7kS/,https://i0.hdslb.com/bfs/archive/934eeaca33ead40e28cfa3f31c9b56461e028947.jpg@672w_378h_1c_!web-search-common-cover,9379,46,07:49,https://space.bilibili.com/83970403,暴躁柠檬鸽子亦, · 2023-4-18
这款爆赞的AI口语陪练产品又升级啦！彻底治好了我的社恐！,https://www.bilibili.com/video/BV1JL411z7WB/,https://i1.hdslb.com/bfs/archive/8bc88cf6c24f39ee9789880cd461b0b51fe41643.jpg@672w_378h_1c_!web-search-common-cover,3135,0,01:54,https://space.bilibili.com/453775502,TalkMe练口语, · 2023-5-26
我用 ChatGPT AI 建立了一家公司并赚了 $$$！中英双字,https://www.bilibili.com/video/BV1zx4y1T7JK/,https://i0.hdslb.com/bfs/archive/4f10957175aa052e9b322381ea4c68169f4961c7.jpg@672w_378h_1c_!web-search-common-cover,382,0,08:13,https://space.bilibili.com/433801736,一起youtube学英语, · 2023-3-11
你真的懂AI？,https://www.bilibili.com/video/BV18U4y1c76W/,https://i2.hdslb.com/bfs/archive/fa8d69b45b787dfb041353e307bef9cecda8f884.jpg@672w_378h_1c_!web-search-common-cover,319,7,04:47,https://space.bilibili.com/611748356,中国移动科协, · 2021-9-29
AI改变生活,https://www.bilibili.com/video/BV1Lv4y1J7pP/,https://i1.hdslb.com/bfs/archive/f2b91f676cfe6ae4e81572d56c0660d6b4ea2cf7.jpg@672w_378h_1c_!web-search-common-cover,794,0,01:30,https://space.bilibili.com/3493083358431546,卢菁老师-AI基地, · 2023-4-14
诺贝尔经济学奖得主班纳吉 揭秘贫穷的本质：穷人和富人的思维有何不同？｜AI创意短片,https://www.bilibili.com/video/BV1i84y117HM/,https://i1.hdslb.com/bfs/archive/19a998fd25afe28fc38a57b54cf1b7bf11a8e009.jpg@672w_378h_1c_!web-search-common-cover,214,0,03:12,https://space.bilibili.com/3493141155940830,AI学姐雅典娜, · 2023-10-9
想要中文AI支棱起来，就要......,https://www.bilibili.com/video/BV11s4y1X7kv/,https://i2.hdslb.com/bfs/archive/01b39782ca4e305764b49a5f4e2b0d16953be445.jpg@672w_378h_1c_!web-search-common-cover,1.2万,0,02:01,https://space.bilibili.com/1963543975,ChatGPT情报员, · 2023-5-6
AI正开始听得懂人话，并做出人难以做到的事情_人工智能,https://www.bilibili.com/video/BV1tL411C7Pm/,https://i0.hdslb.com/bfs/archive/e34cf3834e5ff883264f612cd03d3e67863702d1.jpg@672w_378h_1c_!web-search-common-cover,1270,0,00:44,https://space.bilibili.com/503558013,卢菁老师_北大AI博士后, · 2023-3-19
别再找了！这就是你想要的最强AI神器！AI绘画+GPT聊天都能用！,https://www.bilibili.com/video/BV1LV41157Ni/,https://i2.hdslb.com/bfs/archive/9823d6e9e044f97322bb76364937c12dd4007ee5.jpg@672w_378h_1c_!web-search-common-cover,8.2万,108,02:17,https://space.bilibili.com/281120100,我是阿众, · 2023-7-28
全球首个AI主播已经来了，还是中国人研发双语主播,https://www.bilibili.com/video/BV14b411c7Cq/,https://i0.hdslb.com/bfs/archive/avsas_i181108ws5564d1o09yo7itd5arj9yro_0006.jpg@672w_378h_1c_!web-search-common-cover,8674,26,02:07,https://space.bilibili.com/377601270,未来创力, · 2018-11-8
【GPT-4】最强AI它来了！！！,https://www.bilibili.com/video/BV11Y4y1Q7Gi/,https://i1.hdslb.com/bfs/archive/7fbedb75932dad94617d4185027459b6a23cb640.jpg@672w_378h_1c_!web-search-common-cover,20万,100,03:25,https://space.bilibili.com/82363089,小宇Boi, · 2023-3-15
AI新发现：可以秒杀“拍照立牌”的AI,https://www.bilibili.com/video/BV1qQ4y1p7Tn/,https://i0.hdslb.com/bfs/archive/e81dc4c3d336e7216b02f407e9f36c673e580026.jpg@672w_378h_1c_!web-search-common-cover,1171,0,04:45,https://space.bilibili.com/504573481,房磊AI新发现, · 2023-10-22
马斯克谈中美技术之战：美国对华为的技术限制已失效？| AI原生短剧,https://www.bilibili.com/video/BV1yN411H7v5/,https://i2.hdslb.com/bfs/archive/22b4618800b8210dc980f96f2e0e949e2fd2a74f.jpg@672w_378h_1c_!web-search-common-cover,4571,3,03:31,https://space.bilibili.com/23254093,学姐雅典娜, · 2023-9-18
【建议收藏】这5个变态AI神器，打死都不删！,https://www.bilibili.com/video/BV1984y1m7zv/,https://i0.hdslb.com/bfs/archive/14a7b9d87bcde383a8d1a9b97f0cb6d1f0c7998b.jpg@672w_378h_1c_!web-search-common-cover,9008,2,03:41,https://space.bilibili.com/3493136168912924,万能老王啊, · 2023-10-7
用说唱聊聊董宇辉与东方甄选风波  《饭圈惹谁了》AI中文说唱,https://www.bilibili.com/video/BV12p4y1o7Yg/,https://i0.hdslb.com/bfs/archive/2b29e45fc319c1cc4ee5ffbcc736a22550d28cf5.jpg@672w_378h_1c_!web-search-common-cover,3025,0,01:47,https://space.bilibili.com/405083326,AI-Talk, · 2023-12-18
AI会抢你饭碗，中国：不，我让你做AI的老板,https://www.bilibili.com/video/BV1rs4y1G7JS/,https://i0.hdslb.com/bfs/archive/44dbdf553fa09af37a846ebc9ec58817ddfc60b9.jpg@672w_378h_1c_!web-search-common-cover,4432,9,00:46,https://space.bilibili.com/503558013,卢菁老师_北大AI博士后, · 2023-3-14
逼得有多狠，AI就有多智能,https://www.bilibili.com/video/BV1tT411p7ZP/,https://i1.hdslb.com/bfs/archive/e74cb9750010824531861e70a06ca767591c9782.jpg@672w_378h_1c_!web-search-common-cover,1073,0,01:36,https://space.bilibili.com/3493082435684705,北大博士后卢菁AI课堂, · 2023-4-18
浅测一下人工智能对话产品，ChatGPT 秒杀一切？| AI对话产品测评,https://www.bilibili.com/video/BV168411G7BC/,https://i0.hdslb.com/bfs/archive/b6e4c9e48d60f7c31ac28f3656aec7c827af35cc.jpg@672w_378h_1c_!web-search-common-cover,2757,1,05:51,https://space.bilibili.com/23607431,sssnail222, · 2022-12-8
跟“史上最强对话 AI”ChatGPT聊天，震惊之余发现它真是生产力爆表！,https://www.bilibili.com/video/BV1Gj411M7nD/,https://i2.hdslb.com/bfs/archive/37ef8cd1433673ecf4eca58d4aa6729c8b423314.jpg@672w_378h_1c_!web-search-common-cover,1004,3,08:00,https://space.bilibili.com/76028355,BIMBOX, · 2023-2-4
ChatGPT 之父又整新活，给全球10亿人发钱,https://www.bilibili.com/video/BV1ch411w72a/,https://i1.hdslb.com/bfs/archive/d61c470dacc63546609f6608ae7a061c7bf13563.jpg@672w_378h_1c_!web-search-common-cover,3404,3,01:10,https://space.bilibili.com/3493083358431546,卢菁老师-AI基地, · 2023-5-15
揭秘2023诺贝尔文学奖得主约恩福瑟｜人生的意义是什么？｜对谈作家贝克特｜AI短片,https://www.bilibili.com/video/BV1iN4y1o7Eu/,https://i1.hdslb.com/bfs/archive/7799aca055260995f0f90e641be9de1a64dbb798.jpg@672w_378h_1c_!web-search-common-cover,543,0,03:04,https://space.bilibili.com/3493141155940830,AI学姐雅典娜, · 2023-10-6
?????这玩意是AI?????,https://www.bilibili.com/video/BV1kC4y157nk/,https://i0.hdslb.com/bfs/archive/9d26de0f80b58764ebcbaf1e6f8b1d94d9e0e577.jpg@672w_378h_1c_!web-search-common-cover,7.5万,80,02:02,https://space.bilibili.com/10297693,Mega会玩, · 2023-9-28
对谈哲学家尼采：人工智能时代，如何成为更好的自己？｜AI创意短片,https://www.bilibili.com/video/BV1uC4y157wo/,https://i0.hdslb.com/bfs/archive/fb7be85809ec6de74f0a689f1b62f74faf11fa71.jpg@672w_378h_1c_!web-search-common-cover,352,0,03:29,https://space.bilibili.com/3493141155940830,AI学姐雅典娜, · 2023-10-8
分享几个看到的AI相关的信息,https://www.bilibili.com/video/BV1TM4y1y7kx/,https://i2.hdslb.com/bfs/archive/8f9d7d4ae513c1ec25ede47fba9f862ea6865a2c.jpg@672w_378h_1c_!web-search-common-cover,276,0,01:30,https://space.bilibili.com/374724756,哈克查, · 2023-4-17
ChatGPT火遍全球丨别再用Ai聊天了，它能帮你赚大钱！,https://www.bilibili.com/video/BV1Ac411H7Po/,https://i0.hdslb.com/bfs/archive/77ab50de0bc2783cacc27ba4eb6af305d20d16a4.jpg@672w_378h_1c_!web-search-common-cover,416,0,01:57,https://space.bilibili.com/3493258009250332,伍六七的冲鸭, · 2023-4-18
让照片开口说话，AI人工智能生成虚拟数字人，替你出镜  #虚拟主播   - 抖音,https://www.bilibili.com/video/BV1fg4y1G7t2/,https://i1.hdslb.com/bfs/archive/e9ad363aed03c02824126831497eb978d6c94c8e.jpg@672w_378h_1c_!web-search-common-cover,46,0,01:29,https://space.bilibili.com/1712025936,深圳匠厂科技有限公司, · 2023-5-12
祝各位新年快乐 龙年大吉 AI水墨,https://www.bilibili.com/video/BV1Pi4y1r7PB/,https://i0.hdslb.com/bfs/archive/6d8e1f1dc670fa3f8ddc48b274493748900cd01b.jpg@672w_378h_1c_!web-search-common-cover,1876,0,00:40,https://space.bilibili.com/405083326,AI-Talk, · 2023-12-31
跟“史上最强对话 AI”ChatGPT聊天，震惊之余发现它真是生产力爆表！,https://www.bilibili.com/video/BV1W54y1N7hz/,https://i2.hdslb.com/bfs/archive/d909e7cc86244cff0642f084be6f5154b681421c.jpg@672w_378h_1c_!web-search-common-cover,22,0,08:01,https://space.bilibili.com/473631607,RPA之家, · 2023-2-9
对话AI奥美创始人：茅台德芙联名，只是商业噱头？,https://www.bilibili.com/video/BV1UC4y1f7Z4/,https://i1.hdslb.com/bfs/archive/e44ab7ce7a979ddfa925a89377aef28f1a1e1195.jpg@672w_378h_1c_!web-search-common-cover,2206,1,04:20,https://space.bilibili.com/23254093,学姐雅典娜, · 2023-9-16
高能预告！「AI大咖说」重磅来袭！,https://www.bilibili.com/video/BV1ZU4y1M7FG/,https://i1.hdslb.com/bfs/archive/5295656450206af87d379eb121355247b31dee04.jpg@672w_378h_1c_!web-search-common-cover,419,4,01:51,https://space.bilibili.com/472153261,优必选科技, · 2021-11-17
#06 [AI 對談] 與 AI 大佬“Siri”的特別專場！【A.I.Channel動畫一覽】,https://www.bilibili.com/video/BV18F411t7Jq/,https://i2.hdslb.com/bfs/archive/21b464ec6c834a715c8aa7512f542d1643e91e24.jpg@672w_378h_1c_!web-search-common-cover,353,2,04:17,https://space.bilibili.com/1349139984,AIwanna字幕組, · 2022-2-23
AITalk的内容就是能吸引我听好几遍，如果AIGC天天研究技术微表情啥的，我不说那个没用，可是没内容，客户又不是逛夜总会，夜总会小姐也得会聊两句会叫两声啊！,https://www.bilibili.com/video/BV1hm4y157QM/,https://i0.hdslb.com/bfs/archive/00ee9ab389870b6e743759d70a94321c69c5a9dd.jpg@672w_378h_1c_!web-search-common-cover,83,0,00:17,https://space.bilibili.com/126006805,玮玮道保, · 2023-9-21
【宝藏收藏】善用AI，一个人就是一家公司！将自己各项能力提高100倍的能力外挂！,https://www.bilibili.com/video/BV1kX4y1d7v9/,https://i0.hdslb.com/bfs/archive/dc9679295455997d174e0203d6491c7bc33342d1.jpg@672w_378h_1c_!web-search-common-cover,160,0,00:10,https://space.bilibili.com/334926480,绿岛AI研究所, · 2023-3-23
【A.I.Channel】[AI对话]和AI大亨“Siri”的特别接触！,https://www.bilibili.com/video/BV1Fx411C7UX/,https://i0.hdslb.com/bfs/archive/f8030cd601ade66d4a1afc4555552f6e2b85c9eb.jpg@672w_378h_1c_!web-search-common-cover,1468,19,04:14,https://space.bilibili.com/16313631,Sedilagle, · 2017-3-6
国产之光！超强全能AI神器，无门槛使用，紧跟AI时代步伐，有它就够了~,https://www.bilibili.com/video/BV1no4y1P7pW/,https://i0.hdslb.com/bfs/archive/0dae71762ddbc7b494b5ec791dfc2427e7fd7122.jpg@672w_378h_1c_!web-search-common-cover,1万,2,01:34,https://space.bilibili.com/52063301,软件侠何二, · 2023-6-20
